date_local,instrument,asia_high,asia_low,asia_range,asia_range_ticks,asia_type,london_high,london_low,london_type,ny_high,ny_low,ny_type,pre_ny_travel,pre_orb_travel,atr_20,orb_0900_high,orb_0900_low,orb_0900_size,orb_0900_size_ticks,orb_0900_break_dir,orb_0900_outcome,orb_0900_r_multiple,orb_0900_mae,orb_0900_mfe,orb_1000_high,orb_1000_low,orb_1000_size,orb_1000_size_ticks,orb_1000_break_dir,orb_1000_outcome,orb_1000_r_multiple,orb_1000_mae,orb_1000_mfe,orb_1100_high,orb_1100_low,orb_1100_size,orb_1100_size_ticks,orb_1100_break_dir,orb_1100_outcome,orb_1100_r_multiple,orb_1100_mae,orb_1100_mfe,orb_1800_high,orb_1800_low,orb_1800_size,orb_1800_size_ticks,orb_1800_break_dir,orb_1800_outcome,orb_1800_r_multiple,orb_1800_mae,orb_1800_mfe,orb_2300_high,orb_2300_low,orb_2300_size,orb_2300_size_ticks,orb_2300_break_dir,orb_2300_outcome,orb_2300_r_multiple,orb_2300_mae,orb_2300_mfe,orb_0030_high,orb_0030_low,orb_0030_size,orb_0030_size_ticks,orb_0030_break_dir,orb_0030_outcome,orb_0030_r_multiple,orb_0030_mae,orb_0030_mfe,rsi_at_orb
2025-12-12,MGC,4313.9,4295.5,18.399999999999636,183.99999999999636,EXPANDED,4376.8,4317.4,SWEEP_HIGH,4387.5,4313.0,EXPANSION,59.400000000000546,25.0,3.5745878823956283,4313.0,4308.5,4.5,45.0,DOWN,LOSS,-1.0,4.399999999999636,,4307.8,4303.4,4.400000000000546,44.00000000000546,UP,LOSS,-1.0,-4.199999999999818,2.199999999999818,4302.7,4296.7,6.0,60.0,UP,LOSS,-1.0,,,4322.0,4317.4,4.600000000000364,46.00000000000364,UP,WIN,1.0,-0.8999999999996362,4.300000000000182,4368.3,4356.3,12.0,120.0,UP,WIN,1.0,-1.1000000000003638,6.099999999999454,4264.5,4258.3,6.199999999999818,61.99999999999818,UP,WIN,1.0,,,71.87653728435717
2025-12-13,MGC,,,,,NO_DATA,,,NO_DATA,,,NO_DATA,,,4.162387683949206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4375.3,4366.2,9.100000000000364,91.00000000000364,UP,LOSS,-1.0,,,43.8596872354175
2025-12-14,MGC,,,,,NO_DATA,,,NO_DATA,,,NO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-15,MGC,4380.3,4324.5,55.80000000000018,558.0000000000018,NO_DATA,4384.2,4369.6,SWEEP_HIGH,4380.7,4342.6,SWEEP_LOW,14.599999999999454,26.300000000000182,,4333.7,4324.5,9.199999999999818,91.99999999999818,UP,WIN,1.0,-2.0,6.300000000000182,4338.0,4332.2,5.800000000000182,58.00000000000182,UP,LOSS,-1.0,,,4346.8,4337.5,9.300000000000182,93.00000000000182,UP,WIN,1.0,-8.699999999999818,7.0,4374.6,4372.0,2.600000000000364,26.000000000003638,UP,WIN,1.0,,,4380.7,4374.2,6.5,65.0,DOWN,WIN,1.0,0.3000000000001819,-5.199999999999818,,,,,,,,,,
2025-12-16,MGC,4345.3,4297.3,48.0,480.0,EXPANDED,4323.5,4300.6,CONSOLIDATION,4367.7,4319.2,SWEEP_HIGH,22.899999999999636,43.100000000000364,3.169679598763384,4338.3,4335.0,3.300000000000182,33.00000000000182,DOWN,LOSS,-1.0,2.300000000000182,-0.6000000000003638,4334.8,4331.8,3.0,30.0,UP,WIN,1.0,-2.5,2.899999999999636,4336.5,4330.3,6.199999999999818,61.99999999999818,UP,LOSS,-1.0,,,4315.4,4311.3,4.099999999999454,40.99999999999454,DOWN,WIN,1.0,,,4323.7,4319.2,4.5,45.0,UP,WIN,1.0,-3.899999999999636,2.9000000000005457,4361.3,4352.8,8.5,85.0,UP,LOSS,-1.0,-7.600000000000364,6.099999999999454,33.76153483692012
2025-12-17,MGC,4373.6,4330.8,42.80000000000018,428.0000000000018,EXPANDED,4353.8,4335.3,CONSOLIDATION,4383.1,4345.1,SWEEP_HIGH,18.5,33.099999999999454,3.349228170742145,4334.5,4330.8,3.699999999999818,36.99999999999818,UP,WIN,1.0,-2.899999999999636,3.300000000000182,4339.2,4336.2,3.0,30.0,UP,WIN,1.0,-0.5999999999994543,2.600000000000364,4345.1,4339.7,5.400000000000546,54.00000000000546,UP,WIN,1.0,-3.5,3.899999999999636,4351.1,4346.0,5.100000000000364,51.00000000000364,DOWN,WIN,1.0,,,4352.6,4345.1,7.5,75.0,UP,WIN,1.0,-1.300000000000182,6.599999999999454,4363.2,4355.9,7.300000000000182,73.00000000000182,UP,LOSS,-1.0,,,81.40436686232442
2025-12-18,MGC,4375.0,4355.2,19.800000000000182,198.00000000000182,EXPANDED,4363.7,4348.7,SWEEP_LOW,4375.9,4338.0,EXPANSION,15.0,29.199999999999818,3.4615184123967246,4373.6,4370.9,2.7000000000007276,27.000000000007276,DOWN,WIN,1.0,0.7000000000007276,-1.7999999999992724,4372.9,4370.0,2.899999999999636,28.999999999996362,DOWN,LOSS,-1.0,1.3999999999996362,-1.199999999999818,4369.3,4361.1,8.199999999999818,81.99999999999818,DOWN,LOSS,-1.0,7.099999999999454,-5.900000000000546,4363.7,4357.5,6.199999999999818,61.99999999999818,DOWN,WIN,1.0,4.0,-6.0,4356.3,4351.8,4.5,45.0,DOWN,WIN,1.0,,,4369.4,4357.1,12.299999999999272,122.99999999999272,UP,WIN,1.0,-9.399999999999636,7.700000000000728,59.73139519557618
2025-12-19,MGC,4368.2,4336.3,31.899999999999636,318.99999999999636,EXPANDED,4362.4,4349.2,CONSOLIDATION,4382.5,4350.6,SWEEP_HIGH,13.199999999999818,11.899999999999636,3.5977829938222436,4367.7,4363.0,4.699999999999818,46.99999999999818,UP,LOSS,-1.0,-4.599999999999454,0.5,4367.3,4365.0,2.300000000000182,23.00000000000182,DOWN,WIN,1.0,0.8000000000001819,-1.8999999999996362,4357.5,4348.5,9.0,90.0,DOWN,WIN,1.0,8.800000000000182,-3.5,4352.1,4349.2,2.9000000000005457,29.000000000005457,UP,WIN,1.0,-2.7000000000007276,2.199999999999818,4358.4,4355.5,2.899999999999636,28.999999999996362,UP,WIN,1.0,,,4373.4,4362.8,10.599999999999454,105.99999999999454,DOWN,WIN,1.0,3.800000000000182,-6.199999999999818,55.354318911161734
2025-12-20,MGC,,,,,NO_DATA,,,NO_DATA,,,NO_DATA,,,2.401165343869855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4364.8,4357.0,7.800000000000182,78.00000000000182,UP,LOSS,-1.0,-3.0,5.0,56.586927122331865
2025-12-21,MGC,,,,,NO_DATA,,,NO_DATA,,,NO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-22,MGC,4452.9,4368.1,84.79999999999927,847.9999999999927,NO_DATA,4450.0,4439.1,CONSOLIDATION,4471.2,4445.9,SWEEP_HIGH,10.899999999999636,18.600000000000364,,4375.4,4368.1,7.299999999999272,72.99999999999272,UP,WIN,1.0,-4.899999999999636,5.800000000000182,4393.2,4385.0,8.199999999999818,81.99999999999818,UP,WIN,1.0,-5.5,4.199999999999818,4404.7,4396.7,8.0,80.0,DOWN,LOSS,-1.0,6.600000000000364,-4.899999999999636,4447.2,4442.8,4.399999999999636,43.99999999999636,DOWN,LOSS,-1.0,,,4454.7,4448.8,5.899999999999636,58.99999999999636,UP,WIN,1.0,-4.699999999999818,1.199999999999818,,,,,,,,,,
2025-12-23,MGC,4530.6,4480.3,50.30000000000018,503.0000000000018,EXPANDED,4526.3,4510.0,CONSOLIDATION,4529.2,4458.7,EXPANSION,16.300000000000182,46.0,2.682192244427701,4486.9,4480.3,6.599999999999454,65.99999999999454,UP,WIN,1.0,-3.0,6.100000000000364,4495.7,4490.4,5.300000000000182,53.00000000000182,UP,WIN,1.0,-1.0,4.400000000000546,4515.0,4504.3,10.699999999999818,106.99999999999818,UP,LOSS,-1.0,-6.199999999999818,7.0,4520.8,4517.2,3.600000000000364,36.00000000000364,UP,LOSS,-1.0,-3.300000000000182,0.8000000000001819,4525.0,4518.3,6.699999999999818,66.99999999999818,UP,LOSS,-1.0,-6.399999999999636,4.199999999999818,4462.7,4449.6,13.099999999999454,130.99999999999454,UP,LOSS,-1.0,-12.099999999999454,2.5,48.44605532439257
2025-12-24,MGC,4555.0,4496.4,58.600000000000364,586.0000000000036,EXPANDED,4526.5,4505.1,CONSOLIDATION,4521.1,4474.0,SWEEP_LOW,21.399999999999636,19.400000000000546,3.1538072845351426,4519.8,4512.1,7.699999999999818,76.99999999999818,UP,WIN,1.0,-2.5,5.199999999999818,4542.4,4530.9,11.5,115.0,UP,WIN,1.0,-7.799999999999272,6.100000000000364,4547.4,4534.6,12.799999999999272,127.99999999999272,UP,LOSS,-1.0,-9.0,7.600000000000364,4510.9,4505.1,5.799999999999272,57.999999999992724,UP,WIN,1.0,-3.5999999999994543,5.600000000000364,4520.5,4515.1,5.399999999999636,53.99999999999636,DOWN,LOSS,-1.0,,,4495.3,4479.2,16.100000000000364,161.00000000000364,DOWN,WIN,1.0,11.900000000000546,-8.199999999999818,20.42520941477389
2025-12-25,MGC,,,,,NO_DATA,,,NO_DATA,,,NO_DATA,,,4.394694035431286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4517.7,4506.5,11.199999999999818,111.99999999999818,DOWN,LOSS,-1.0,,,55.58029995077616
2025-12-26,MGC,4561.7,4517.6,44.099999999999454,440.99999999999454,NO_DATA,4553.9,4531.2,CONSOLIDATION,4581.0,4533.2,SWEEP_HIGH,22.699999999999818,31.400000000000546,,4541.0,4517.6,23.399999999999636,233.99999999999636,UP,NO_TRADE,,-22.699999999999818,16.399999999999636,4529.1,4523.8,5.300000000000182,53.00000000000182,UP,WIN,1.0,-1.0,5.199999999999818,4557.4,4547.3,10.099999999999454,100.99999999999454,DOWN,LOSS,-1.0,,,4543.5,4539.0,4.5,45.0,UP,WIN,1.0,-2.899999999999636,4.100000000000364,4545.4,4533.2,12.199999999999818,121.99999999999818,UP,WIN,1.0,-6.099999999999454,10.900000000000546,,,,,,,,,,
2025-12-27,MGC,,,,,NO_DATA,,,NO_DATA,,,NO_DATA,,,4.205058150672365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4568.4,4558.2,10.199999999999818,101.99999999999818,DOWN,WIN,1.0,8.400000000000546,-7.099999999999454,72.64045380177696
2025-12-28,MGC,,,,,NO_DATA,,,NO_DATA,,,NO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-29,MGC,4581.2,4490.0,91.19999999999982,911.9999999999982,NO_DATA,4510.4,4454.4,SWEEP_LOW,4488.7,4319.4,SWEEP_LOW,56.0,83.59999999999945,,4581.2,4566.0,15.199999999999818,151.99999999999818,DOWN,WIN,1.0,11.300000000000182,,4551.7,4536.2,15.5,155.0,DOWN,WIN,1.0,13.100000000000364,-3.699999999999818,4528.0,4511.1,16.899999999999636,168.99999999999636,UP,NO_TRADE,,-13.800000000000182,11.600000000000364,4498.3,4487.4,10.900000000000546,109.00000000000546,UP,WIN,1.0,-7.0,9.300000000000182,4486.8,4479.2,7.600000000000364,76.00000000000364,DOWN,LOSS,-1.0,,,,,,,,,,,,
2025-12-30,MGC,4394.5,4338.5,56.0,560.0,EXPANDED,4418.8,4366.0,SWEEP_HIGH,4420.5,4370.7,SWEEP_HIGH,52.80000000000018,29.5,4.926718500060031,4357.3,4347.9,9.400000000000546,94.00000000000546,UP,LOSS,-1.0,-1.9000000000005457,6.099999999999454,4361.7,4353.5,8.199999999999818,81.99999999999818,UP,LOSS,-1.0,-6.899999999999636,4.800000000000182,4355.3,4341.7,13.600000000000364,136.00000000000364,UP,LOSS,-1.0,,,4388.8,4378.7,10.100000000000364,101.00000000000364,DOWN,LOSS,-1.0,9.5,,4420.5,4415.4,5.100000000000364,51.00000000000364,DOWN,WIN,1.0,4.300000000000182,-2.5999999999994543,4409.7,4385.2,24.5,245.0,DOWN,WIN,1.0,22.699999999999818,-9.899999999999636,21.212885846795842
2025-12-31,MGC,4385.0,4284.5,100.5,1005.0,EXPANDED,4349.1,4314.6,CONSOLIDATION,4367.8,4320.2,SWEEP_HIGH,34.5,41.400000000000546,5.130792428869433,4359.5,4352.3,7.199999999999818,71.99999999999818,DOWN,WIN,1.0,7.0,-0.5,4356.4,4350.6,5.799999999999272,57.999999999992724,DOWN,WIN,1.0,5.299999999999272,-1.1000000000003638,4362.3,4348.6,13.699999999999818,136.99999999999818,UP,WIN,1.0,-6.600000000000364,13.199999999999818,4344.6,4338.5,6.100000000000364,61.00000000000364,DOWN,WIN,1.0,1.8999999999996362,-5.300000000000182,4329.5,4324.5,5.0,50.0,DOWN,LOSS,-1.0,4.0,-4.300000000000182,4407.8,4394.5,13.300000000000182,133.00000000000182,DOWN,WIN,1.0,5.199999999999818,-5.199999999999818,43.88198461474535
2026-01-01,MGC,,,,,NO_DATA,,,NO_DATA,,,NO_DATA,,,4.597194976839228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4362.2,4346.2,16.0,160.0,DOWN,LOSS,-1.0,,,69.53674808826602
2026-01-02,MGC,4394.8,4335.5,59.30000000000018,593.0000000000018,NO_DATA,4412.0,4392.6,SWEEP_HIGH,4415.0,4341.4,EXPANSION,19.399999999999636,41.5,,4348.2,4335.5,12.699999999999818,126.99999999999818,UP,WIN,1.0,-6.899999999999636,11.199999999999818,4362.6,4358.3,4.300000000000182,43.00000000000182,UP,LOSS,-1.0,,,4369.3,4360.3,9.0,90.0,DOWN,LOSS,-1.0,8.399999999999636,-2.4000000000005457,4397.0,4392.6,4.399999999999636,43.99999999999636,UP,WIN,1.0,-3.699999999999818,4.300000000000182,4410.2,4405.0,5.199999999999818,51.99999999999818,UP,LOSS,-1.0,-2.5,4.800000000000182,,,,,,,,,,
2026-01-03,MGC,,,,,NO_DATA,,,NO_DATA,,,NO_DATA,,,3.3217108093471155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4382.1,4366.3,15.800000000000182,158.00000000000182,DOWN,WIN,1.0,8.899999999999636,-13.300000000000182,24.875997872647503
2026-01-04,MGC,,,,,NO_DATA,,,NO_DATA,,,NO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,MGC,4435.9,4354.8,81.09999999999945,810.9999999999945,NO_DATA,4451.6,4416.8,SWEEP_HIGH,4467.5,4406.7,EXPANSION,34.80000000000018,35.30000000000018,,4374.8,4354.8,20.0,200.0,UP,WIN,1.0,-15.900000000000546,17.899999999999636,4384.7,4379.3,5.399999999999636,53.99999999999636,UP,LOSS,-1.0,,,4426.7,4403.8,22.899999999999636,228.99999999999636,DOWN,LOSS,-1.0,,,4433.7,4429.0,4.699999999999818,46.99999999999818,UP,WIN,1.0,-4.199999999999818,1.800000000000182,4428.2,4418.9,9.300000000000182,93.00000000000182,DOWN,LOSS,-1.0,,,,,,,,,,,,
2026-01-06,MGC,4485.2,4437.5,47.69999999999982,476.9999999999982,EXPANDED,4486.2,4452.3,SWEEP_HIGH,4501.8,4464.0,SWEEP_HIGH,33.899999999999636,19.899999999999636,3.3850518248143353,4466.5,4459.1,7.399999999999636,73.99999999999636,UP,LOSS,-1.0,-4.699999999999818,4.800000000000182,4451.5,4446.5,5.0,50.0,UP,LOSS,-1.0,-4.800000000000182,4.199999999999818,4451.2,4437.5,13.699999999999818,136.99999999999818,UP,WIN,1.0,-9.0,10.800000000000182,4470.8,4466.9,3.9000000000005457,39.00000000000546,UP,WIN,1.0,-0.5,2.800000000000182,4476.5,4470.1,6.399999999999636,63.99999999999636,UP,LOSS,-1.0,-5.199999999999818,4.899999999999636,4438.5,4428.7,9.800000000000182,98.00000000000182,UP,LOSS,-1.0,,,58.70035420229681
2026-01-07,MGC,4512.2,4451.4,60.80000000000018,608.0000000000018,EXPANDED,4484.9,4448.5,SWEEP_LOW,4464.2,4433.0,SWEEP_LOW,36.399999999999636,27.599999999999454,2.9091911549490086,4510.1,4504.5,5.600000000000364,56.00000000000364,UP,LOSS,-1.0,-4.700000000000728,2.0999999999994543,4505.5,4501.5,4.0,40.0,DOWN,LOSS,-1.0,3.0,,4507.1,4491.6,15.5,155.0,DOWN,WIN,1.0,3.2999999999992724,-14.900000000000546,4473.5,4470.2,3.300000000000182,33.00000000000182,UP,LOSS,-1.0,,,4459.4,4452.4,7.0,70.0,DOWN,WIN,1.0,,,4489.6,4475.0,14.600000000000364,146.00000000000364,UP,LOSS,-1.0,-13.0,12.199999999999818,69.13214979615502
2026-01-08,MGC,4475.3,4423.7,51.600000000000364,516.0000000000036,EXPANDED,4443.3,4415.2,SWEEP_LOW,4465.7,4425.0,SWEEP_HIGH,28.100000000000364,19.5,3.2376738943143466,4471.9,4466.0,5.899999999999636,58.99999999999636,UP,LOSS,-1.0,-4.799999999999272,3.4000000000005457,4474.8,4471.7,3.100000000000364,31.000000000003638,DOWN,LOSS,-1.0,3.0,-0.5,4463.7,4452.6,11.099999999999454,110.99999999999454,UP,LOSS,-1.0,-9.099999999999454,5.699999999999818,4439.7,4433.2,6.5,65.0,UP,LOSS,-1.0,-6.399999999999636,1.699999999999818,4437.4,4430.9,6.5,65.0,DOWN,LOSS,-1.0,4.900000000000546,-5.899999999999636,4460.3,4450.2,10.100000000000364,101.00000000000364,DOWN,LOSS,-1.0,,,52.7998897420552
2026-01-09,MGC,4493.7,4461.8,31.899999999999636,318.99999999999636,EXPANDED,4489.6,4469.4,CONSOLIDATION,4526.9,4466.9,EXPANSION,20.200000000000728,39.20000000000073,3.623140401293585,4493.7,4486.3,7.399999999999636,73.99999999999636,DOWN,WIN,1.0,3.199999999999818,-6.199999999999818,4486.8,4483.7,3.100000000000364,31.000000000003638,DOWN,WIN,1.0,2.699999999999818,-2.399999999999636,4475.4,4467.5,7.899999999999636,78.99999999999636,DOWN,LOSS,-1.0,7.5,-5.699999999999818,4480.7,4475.1,5.599999999999454,55.99999999999454,UP,LOSS,-1.0,-5.300000000000182,5.199999999999818,4479.2,4472.0,7.199999999999818,71.99999999999818,UP,LOSS,-1.0,-4.399999999999636,3.300000000000182,4442.0,4430.3,11.699999999999818,116.99999999999818,UP,WIN,1.0,-8.300000000000182,6.199999999999818,56.52373051338786
