orb_time,direction,asia_type,london_type,ny_type,total_trades,wins,losses,no_trades,win_rate,avg_r,total_r,worst_r,best_r
ORB_0030,DOWN,EXPANDED,SWEEP_LOW,EXPANSION,10,9,1,0,0.9,0.8,8.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,CONSOLIDATION,SWEEP_LOW,13,8,5,0,0.6154,0.2308,3.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,CONSOLIDATION,SWEEP_HIGH,10,6,4,0,0.6,0.2,2.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_HIGH,EXPANSION,20,12,8,0,0.6,0.2,4.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_HIGH,CONSOLIDATION,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_0030,DOWN,NO_DATA,NO_DATA,NO_DATA,53,25,28,0,0.4717,-0.0566,-3.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_LOW,SWEEP_LOW,15,7,8,0,0.4667,-0.0667,-1.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_LOW,15,7,8,0,0.4667,-0.0667,-1.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,39,18,21,0,0.4615,-0.0769,-3.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_LOW,SWEEP_HIGH,22,10,12,0,0.4545,-0.0909,-2.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,EXPANSION,SWEEP_HIGH,8,3,5,0,0.375,-0.25,-2.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_LOW,CONSOLIDATION,5,1,4,0,0.2,-0.6,-3.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,CONSOLIDATION,EXPANSION,5,1,4,0,0.2,-0.6,-3.0,-1.0,1.0
ORB_0030,UP,EXPANDED,CONSOLIDATION,SWEEP_LOW,9,6,3,0,0.6667,0.3333,3.0,-1.0,1.0
ORB_0030,UP,EXPANDED,EXPANSION,SWEEP_HIGH,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_0030,UP,EXPANDED,CONSOLIDATION,SWEEP_HIGH,9,5,4,0,0.5556,0.1111,1.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_HIGH,SWEEP_LOW,30,15,15,0,0.5,0.0,0.0,-1.0,1.0
ORB_0030,UP,EXPANDED,CONSOLIDATION,EXPANSION,16,8,8,0,0.5,0.0,0.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_HIGH,EXPANSION,19,9,10,0,0.4737,-0.0526,-1.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,37,16,21,0,0.4324,-0.1351,-5.0,-1.0,1.0
ORB_0030,UP,NO_DATA,NO_DATA,NO_DATA,53,22,31,0,0.4151,-0.1698,-9.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_LOW,SWEEP_HIGH,34,14,20,0,0.4118,-0.1765,-6.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_LOW,SWEEP_LOW,37,15,22,0,0.4054,-0.1892,-7.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_HIGH,CONSOLIDATION,10,4,6,0,0.4,-0.2,-2.0,-1.0,1.0
ORB_0030,UP,EXPANDED,EXPANSION,SWEEP_LOW,11,4,7,0,0.3636,-0.2727,-3.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_LOW,EXPANSION,6,2,4,0,0.3333,-0.3333,-2.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,CONSOLIDATION,SWEEP_HIGH,8,6,2,0,0.75,0.5,4.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,32,19,13,0,0.5938,0.1875,6.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,SWEEP_LOW,SWEEP_HIGH,28,16,12,0,0.5714,0.1429,4.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,SWEEP_LOW,EXPANSION,8,4,4,0,0.5,0.0,0.0,-1.0,1.0
ORB_0900,DOWN,NO_DATA,SWEEP_LOW,SWEEP_LOW,8,4,4,0,0.5,0.0,0.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,SWEEP_HIGH,EXPANSION,23,11,12,0,0.4783,-0.0435,-1.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,SWEEP_LOW,SWEEP_LOW,25,11,14,0,0.44,-0.12,-3.0,-1.0,1.0
ORB_0900,DOWN,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,19,8,11,0,0.4211,-0.1579,-3.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,EXPANSION,SWEEP_LOW,8,3,5,0,0.375,-0.25,-2.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,CONSOLIDATION,SWEEP_LOW,11,4,7,0,0.3636,-0.2727,-3.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,CONSOLIDATION,EXPANSION,10,3,7,0,0.3,-0.4,-4.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_LOW,18,5,13,0,0.2778,-0.4444,-8.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,EXPANSION,SWEEP_HIGH,6,1,5,0,0.1667,-0.6667,-4.0,-1.0,1.0
ORB_0900,DOWN,EXPANDED,SWEEP_HIGH,CONSOLIDATION,7,1,6,0,0.1429,-0.7143,-5.0,-1.0,1.0
ORB_0900,UP,NO_DATA,SWEEP_LOW,EXPANSION,5,4,1,0,0.8,0.6,3.0,-1.0,1.0
ORB_0900,UP,NO_DATA,CONSOLIDATION,SWEEP_HIGH,5,4,1,0,0.8,0.6,3.0,-1.0,1.0
ORB_0900,UP,EXPANDED,CONSOLIDATION,EXPANSION,10,7,3,0,0.7,0.4,4.0,-1.0,1.0
ORB_0900,UP,NO_DATA,SWEEP_HIGH,SWEEP_LOW,6,4,2,0,0.6667,0.3333,2.0,-1.0,1.0
ORB_0900,UP,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,6,4,2,0,0.6667,0.3333,2.0,-1.0,1.0
ORB_0900,UP,EXPANDED,EXPANSION,SWEEP_HIGH,6,4,2,0,0.6667,0.3333,2.0,-1.0,1.0
ORB_0900,UP,EXPANDED,CONSOLIDATION,SWEEP_HIGH,12,7,5,0,0.5833,0.1667,2.0,-1.0,1.0
ORB_0900,UP,EXPANDED,CONSOLIDATION,SWEEP_LOW,12,6,6,0,0.5,0.0,0.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_HIGH,CONSOLIDATION,8,4,4,0,0.5,0.0,0.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_HIGH,SWEEP_LOW,26,13,13,0,0.5,0.0,0.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_LOW,SWEEP_LOW,27,12,15,0,0.4444,-0.1111,-3.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_LOW,SWEEP_HIGH,26,11,15,0,0.4231,-0.1538,-4.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_HIGH,EXPANSION,17,7,10,0,0.4118,-0.1765,-3.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_LOW,CONSOLIDATION,6,2,4,0,0.3333,-0.3333,-2.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_LOW,EXPANSION,9,3,6,0,0.3333,-0.3333,-3.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,40,13,27,0,0.325,-0.35,-14.0,-1.0,1.0
ORB_0900,UP,EXPANDED,EXPANSION,SWEEP_LOW,7,2,5,0,0.2857,-0.4286,-3.0,-1.0,1.0
ORB_0900,UP,NO_DATA,SWEEP_HIGH,EXPANSION,7,2,5,0,0.2857,-0.4286,-3.0,-1.0,1.0
ORB_0900,UP,NO_DATA,CONSOLIDATION,SWEEP_LOW,5,1,4,0,0.2,-0.6,-3.0,-1.0,1.0
ORB_0900,UP,NO_DATA,SWEEP_LOW,SWEEP_LOW,6,1,5,0,0.1667,-0.6667,-4.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,CONSOLIDATION,SWEEP_HIGH,12,8,4,0,0.6667,0.3333,4.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,CONSOLIDATION,SWEEP_LOW,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,EXPANSION,SWEEP_LOW,9,5,4,0,0.5556,0.1111,1.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,CONSOLIDATION,SWEEP_LOW,9,5,4,0,0.5556,0.1111,1.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,17,9,8,0,0.5294,0.0588,1.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_HIGH,EXPANSION,24,12,12,0,0.5,0.0,0.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,CONSOLIDATION,EXPANSION,8,4,4,0,0.5,0.0,0.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,SWEEP_LOW,SWEEP_LOW,11,5,6,0,0.4545,-0.0909,-1.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_LOW,SWEEP_HIGH,33,15,18,0,0.4545,-0.0909,-3.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_LOW,SWEEP_LOW,18,8,10,0,0.4444,-0.1111,-2.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,CONSOLIDATION,SWEEP_HIGH,5,2,3,0,0.4,-0.2,-1.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_HIGH,CONSOLIDATION,10,4,6,0,0.4,-0.2,-2.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_LOW,EXPANSION,11,4,7,0,0.3636,-0.2727,-3.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,35,12,23,0,0.3429,-0.3143,-11.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_LOW,21,7,14,0,0.3333,-0.3333,-7.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,SWEEP_HIGH,EXPANSION,7,2,5,0,0.2857,-0.4286,-3.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,SWEEP_HIGH,SWEEP_LOW,5,1,4,0,0.2,-0.6,-3.0,-1.0,1.0
ORB_1000,UP,NO_DATA,CONSOLIDATION,SWEEP_LOW,7,5,2,0,0.7143,0.4286,3.0,-1.0,1.0
ORB_1000,UP,EXPANDED,CONSOLIDATION,SWEEP_LOW,13,9,4,0,0.6923,0.3846,5.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_LOW,EXPANSION,6,4,2,0,0.6667,0.3333,2.0,-1.0,1.0
ORB_1000,UP,EXPANDED,CONSOLIDATION,SWEEP_HIGH,8,5,3,0,0.625,0.25,2.0,-1.0,1.0
ORB_1000,UP,NO_DATA,SWEEP_LOW,SWEEP_LOW,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_LOW,SWEEP_HIGH,22,12,10,0,0.5455,0.0909,2.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_HIGH,EXPANSION,17,9,8,0,0.5294,0.0588,1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_HIGH,SWEEP_LOW,25,13,12,0,0.52,0.04,1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_LOW,SWEEP_LOW,31,16,15,0,0.5161,0.0323,1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,42,18,24,0,0.4286,-0.1429,-6.0,-1.0,1.0
ORB_1000,UP,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,12,5,7,0,0.4167,-0.1667,-2.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_HIGH,CONSOLIDATION,5,2,3,0,0.4,-0.2,-1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_LOW,CONSOLIDATION,5,2,3,0,0.4,-0.2,-1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,CONSOLIDATION,EXPANSION,13,5,8,0,0.3846,-0.2308,-3.0,-1.0,1.0
ORB_1000,UP,EXPANDED,EXPANSION,SWEEP_HIGH,10,3,7,0,0.3,-0.4,-4.0,-1.0,1.0
ORB_1000,UP,EXPANDED,EXPANSION,SWEEP_LOW,5,1,4,0,0.2,-0.6,-3.0,-1.0,1.0
ORB_1100,DOWN,NO_DATA,SWEEP_LOW,SWEEP_LOW,8,6,2,0,0.75,0.5,4.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_LOW,SWEEP_LOW,31,19,12,0,0.6129,0.2258,7.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,CONSOLIDATION,SWEEP_HIGH,10,6,4,0,0.6,0.2,2.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_LOW,SWEEP_HIGH,27,15,12,0,0.5556,0.1111,3.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_LOW,20,11,9,0,0.55,0.1,2.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,CONSOLIDATION,SWEEP_LOW,10,5,5,0,0.5,0.0,0.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_LOW,CONSOLIDATION,8,4,4,0,0.5,0.0,0.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,42,19,23,0,0.4524,-0.0952,-4.0,-1.0,1.0
ORB_1100,DOWN,NO_DATA,CONSOLIDATION,SWEEP_HIGH,9,4,5,0,0.4444,-0.1111,-1.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,EXPANSION,SWEEP_HIGH,5,2,3,0,0.4,-0.2,-1.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,EXPANSION,SWEEP_LOW,8,3,5,0,0.375,-0.25,-2.0,-1.0,1.0
ORB_1100,DOWN,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,8,3,5,0,0.375,-0.25,-2.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_HIGH,EXPANSION,19,6,13,0,0.3158,-0.3684,-7.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,CONSOLIDATION,EXPANSION,8,2,6,0,0.25,-0.5,-4.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_LOW,EXPANSION,8,2,6,0,0.25,-0.5,-4.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_HIGH,CONSOLIDATION,6,1,5,0,0.1667,-0.6667,-4.0,-1.0,1.0
ORB_1100,DOWN,NO_DATA,SWEEP_HIGH,EXPANSION,6,1,5,0,0.1667,-0.6667,-4.0,-1.0,1.0
ORB_1100,UP,EXPANDED,SWEEP_LOW,EXPANSION,8,6,2,0,0.75,0.5,4.0,-1.0,1.0
ORB_1100,UP,NO_DATA,SWEEP_HIGH,SWEEP_LOW,7,5,2,0,0.7143,0.4286,3.0,-1.0,1.0
ORB_1100,UP,NO_DATA,CONSOLIDATION,SWEEP_LOW,7,5,2,0,0.7143,0.4286,3.0,-1.0,1.0
ORB_1100,UP,EXPANDED,CONSOLIDATION,SWEEP_HIGH,10,7,3,0,0.7,0.4,4.0,-1.0,1.0
ORB_1100,UP,EXPANDED,CONSOLIDATION,SWEEP_LOW,12,8,4,0,0.6667,0.3333,4.0,-1.0,1.0
ORB_1100,UP,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,33,22,11,0,0.6667,0.3333,11.0,-1.0,1.0
ORB_1100,UP,EXPANDED,SWEEP_HIGH,SWEEP_LOW,26,17,9,0,0.6538,0.3077,8.0,-1.0,1.0
ORB_1100,UP,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,17,11,6,0,0.6471,0.2941,5.0,-1.0,1.0
ORB_1100,UP,EXPANDED,CONSOLIDATION,EXPANSION,11,7,4,0,0.6364,0.2727,3.0,-1.0,1.0
ORB_1100,UP,EXPANDED,SWEEP_LOW,SWEEP_HIGH,28,17,11,0,0.6071,0.2143,6.0,-1.0,1.0
ORB_1100,UP,NO_DATA,SWEEP_LOW,SWEEP_LOW,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_1100,UP,EXPANDED,EXPANSION,SWEEP_LOW,7,4,3,0,0.5714,0.1429,1.0,-1.0,1.0
ORB_1100,UP,EXPANDED,SWEEP_HIGH,CONSOLIDATION,6,3,3,0,0.5,0.0,0.0,-1.0,1.0
ORB_1100,UP,EXPANDED,SWEEP_LOW,SWEEP_LOW,19,8,11,0,0.4211,-0.1579,-3.0,-1.0,1.0
ORB_1100,UP,EXPANDED,SWEEP_HIGH,EXPANSION,20,8,12,0,0.4,-0.2,-4.0,-1.0,1.0
ORB_1100,UP,EXPANDED,EXPANSION,SWEEP_HIGH,8,2,6,0,0.25,-0.5,-4.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,CONSOLIDATION,SWEEP_LOW,17,12,5,0,0.7059,0.4118,7.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,SWEEP_LOW,EXPANSION,11,7,4,0,0.6364,0.2727,3.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,EXPANSION,SWEEP_HIGH,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_1800,DOWN,NO_DATA,SWEEP_HIGH,EXPANSION,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,SWEEP_LOW,SWEEP_HIGH,39,23,16,0,0.5897,0.1795,7.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,SWEEP_LOW,SWEEP_LOW,29,16,13,0,0.5517,0.1034,3.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,CONSOLIDATION,EXPANSION,11,6,5,0,0.5455,0.0909,1.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,CONSOLIDATION,SWEEP_HIGH,13,7,6,0,0.5385,0.0769,1.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,SWEEP_LOW,CONSOLIDATION,8,4,4,0,0.5,0.0,0.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_LOW,13,6,7,0,0.4615,-0.0769,-1.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,EXPANSION,SWEEP_LOW,7,3,4,0,0.4286,-0.1429,-1.0,-1.0,1.0
ORB_1800,DOWN,NO_DATA,CONSOLIDATION,SWEEP_HIGH,5,2,3,0,0.4,-0.2,-1.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,33,12,21,0,0.3636,-0.2727,-9.0,-1.0,1.0
ORB_1800,DOWN,NO_DATA,SWEEP_LOW,SWEEP_LOW,7,2,5,0,0.2857,-0.4286,-3.0,-1.0,1.0
ORB_1800,DOWN,EXPANDED,SWEEP_HIGH,EXPANSION,11,3,8,0,0.2727,-0.4545,-5.0,-1.0,1.0
ORB_1800,DOWN,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,13,3,10,0,0.2308,-0.5385,-7.0,-1.0,1.0
ORB_1800,UP,NO_DATA,SWEEP_HIGH,SWEEP_LOW,5,4,1,0,0.8,0.6,3.0,-1.0,1.0
ORB_1800,UP,EXPANDED,SWEEP_HIGH,CONSOLIDATION,12,9,3,0,0.75,0.5,6.0,-1.0,1.0
ORB_1800,UP,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,16,12,4,0,0.75,0.5,8.0,-1.0,1.0
ORB_1800,UP,EXPANDED,CONSOLIDATION,SWEEP_HIGH,7,5,2,0,0.7143,0.4286,3.0,-1.0,1.0
ORB_1800,UP,EXPANDED,EXPANSION,SWEEP_LOW,7,5,2,0,0.7143,0.4286,3.0,-1.0,1.0
ORB_1800,UP,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,44,31,13,0,0.7045,0.4091,18.0,-1.0,1.0
ORB_1800,UP,NO_DATA,SWEEP_HIGH,EXPANSION,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_1800,UP,NO_DATA,CONSOLIDATION,SWEEP_LOW,7,4,3,0,0.5714,0.1429,1.0,-1.0,1.0
ORB_1800,UP,EXPANDED,SWEEP_HIGH,SWEEP_LOW,32,18,14,0,0.5625,0.125,4.0,-1.0,1.0
ORB_1800,UP,EXPANDED,SWEEP_LOW,SWEEP_HIGH,16,9,7,0,0.5625,0.125,2.0,-1.0,1.0
ORB_1800,UP,NO_DATA,SWEEP_LOW,SWEEP_LOW,9,5,4,0,0.5556,0.1111,1.0,-1.0,1.0
ORB_1800,UP,EXPANDED,SWEEP_HIGH,EXPANSION,29,16,13,0,0.5517,0.1034,3.0,-1.0,1.0
ORB_1800,UP,EXPANDED,SWEEP_LOW,EXPANSION,6,3,3,0,0.5,0.0,0.0,-1.0,1.0
ORB_1800,UP,EXPANDED,CONSOLIDATION,SWEEP_LOW,6,3,3,0,0.5,0.0,0.0,-1.0,1.0
ORB_1800,UP,EXPANDED,SWEEP_LOW,SWEEP_LOW,21,8,13,0,0.381,-0.2381,-5.0,-1.0,1.0
ORB_1800,UP,EXPANDED,CONSOLIDATION,EXPANSION,10,3,7,0,0.3,-0.4,-4.0,-1.0,1.0
ORB_1800,UP,EXPANDED,EXPANSION,SWEEP_HIGH,8,2,6,0,0.25,-0.5,-4.0,-1.0,1.0
ORB_2300,DOWN,NO_DATA,CONSOLIDATION,SWEEP_LOW,7,5,2,0,0.7143,0.4286,3.0,-1.0,1.0
ORB_2300,DOWN,EXPANDED,EXPANSION,SWEEP_LOW,10,6,4,0,0.6,0.2,2.0,-1.0,1.0
ORB_2300,DOWN,EXPANDED,SWEEP_LOW,EXPANSION,10,6,4,0,0.6,0.2,2.0,-1.0,1.0
ORB_2300,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_LOW,29,17,12,0,0.5862,0.1724,5.0,-1.0,1.0
ORB_2300,DOWN,NO_DATA,SWEEP_LOW,SWEEP_LOW,12,7,5,0,0.5833,0.1667,2.0,-1.0,1.0
ORB_2300,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,20,11,9,0,0.55,0.1,2.0,-1.0,1.0
ORB_2300,DOWN,EXPANDED,CONSOLIDATION,SWEEP_LOW,12,6,6,0,0.5,0.0,0.0,-1.0,1.0
ORB_2300,DOWN,EXPANDED,SWEEP_LOW,SWEEP_LOW,32,16,16,0,0.5,0.0,0.0,-1.0,1.0
ORB_2300,DOWN,EXPANDED,SWEEP_HIGH,EXPANSION,22,10,12,0,0.4545,-0.0909,-2.0,-1.0,1.0
ORB_2300,DOWN,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,11,5,6,0,0.4545,-0.0909,-1.0,-1.0,1.0
ORB_2300,DOWN,EXPANDED,SWEEP_LOW,SWEEP_HIGH,17,7,10,0,0.4118,-0.1765,-3.0,-1.0,1.0
ORB_2300,DOWN,EXPANDED,EXPANSION,SWEEP_HIGH,5,2,3,0,0.4,-0.2,-1.0,-1.0,1.0
ORB_2300,DOWN,NO_DATA,SWEEP_HIGH,EXPANSION,5,2,3,0,0.4,-0.2,-1.0,-1.0,1.0
ORB_2300,DOWN,EXPANDED,SWEEP_LOW,CONSOLIDATION,5,1,4,0,0.2,-0.6,-3.0,-1.0,1.0
ORB_2300,DOWN,EXPANDED,SWEEP_HIGH,CONSOLIDATION,7,1,6,0,0.1429,-0.7143,-5.0,-1.0,1.0
ORB_2300,UP,NO_DATA,CONSOLIDATION,SWEEP_HIGH,6,5,1,0,0.8333,0.6667,4.0,-1.0,1.0
ORB_2300,UP,NO_DATA,CONSOLIDATION,SWEEP_LOW,5,4,1,0,0.8,0.6,3.0,-1.0,1.0
ORB_2300,UP,EXPANDED,SWEEP_LOW,EXPANSION,7,5,2,0,0.7143,0.4286,3.0,-1.0,1.0
ORB_2300,UP,EXPANDED,SWEEP_LOW,SWEEP_HIGH,39,26,13,0,0.6667,0.3333,13.0,-1.0,1.0
ORB_2300,UP,EXPANDED,CONSOLIDATION,SWEEP_HIGH,15,10,5,0,0.6667,0.3333,5.0,-1.0,1.0
ORB_2300,UP,EXPANDED,EXPANSION,SWEEP_HIGH,8,5,3,0,0.625,0.25,2.0,-1.0,1.0
ORB_2300,UP,NO_DATA,SWEEP_HIGH,EXPANSION,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_2300,UP,EXPANDED,SWEEP_HIGH,EXPANSION,19,11,8,0,0.5789,0.1579,3.0,-1.0,1.0
ORB_2300,UP,EXPANDED,CONSOLIDATION,EXPANSION,17,9,8,0,0.5294,0.0588,1.0,-1.0,1.0
ORB_2300,UP,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,18,8,10,0,0.4444,-0.1111,-2.0,-1.0,1.0
ORB_2300,UP,EXPANDED,SWEEP_HIGH,SWEEP_LOW,17,7,10,0,0.4118,-0.1765,-3.0,-1.0,1.0
ORB_2300,UP,EXPANDED,EXPANSION,SWEEP_LOW,5,2,3,0,0.4,-0.2,-1.0,-1.0,1.0
ORB_2300,UP,EXPANDED,CONSOLIDATION,SWEEP_LOW,10,4,6,0,0.4,-0.2,-2.0,-1.0,1.0
ORB_2300,UP,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,58,19,39,0,0.3276,-0.3448,-20.0,-1.0,1.0
ORB_2300,UP,EXPANDED,SWEEP_LOW,SWEEP_LOW,18,5,13,0,0.2778,-0.4444,-8.0,-1.0,1.0
ORB_2300,UP,EXPANDED,SWEEP_HIGH,CONSOLIDATION,8,1,7,0,0.125,-0.75,-6.0,-1.0,1.0
ORB_2300,UP,NO_DATA,SWEEP_HIGH,SWEEP_LOW,5,0,5,0,0.0,-1.0,-5.0,-1.0,-1.0
