filter,trades,trades_pct,wins,win_rate,avg_r,total_r,wr_improvement,avg_r_improvement,improvement_score,setup
ORB size 0.15-0.35%,68,13.001912045889103,13,19.11764705882353,0.7205882352941176,49.0,7.454167135305363,0.6626415384509444,67.00957055862497,9am 8R HALF ext
Large ORB (>0.20%),51,9.751434034416825,8,15.686274509803921,0.4961984793917567,25.306122448979593,4.022794586285755,0.4382517825485835,44.22745771348693,9am 8R HALF ext
Friday only,104,19.88527724665392,16,15.384615384615385,0.38461538461538464,40.0,3.7211354610972194,0.3266686877722114,33.03898232333086,9am 8R HALF ext
Tuesday only,106,20.26768642447419,15,14.150943396226415,0.27358490566037735,29.0,2.4874634727082494,0.21563820881720414,21.812567228991238,9am 8R HALF ext
With pre-ORB trend,228,43.59464627151052,30,13.157894736842104,0.2030970282849982,46.30612244897959,1.4944148133239388,0.145150331441825,14.664474625514893,9am 8R HALF ext
ORB size 0.10-0.30%,113,21.606118546845124,15,13.274336283185843,0.19469026548672566,22.0,1.610856359667677,0.13674356864355244,13.835442500322012,9am 8R HALF ext
Monday only,105,20.076481835564053,13,12.380952380952381,0.1552964042759961,16.306122448979593,0.7174724574342157,0.0973497074328229,9.806717989025712,9am 8R HALF ext
Entry before 10am,499,95.41108986615679,59,11.823647294589177,0.06412825651302605,32.0,0.16016737107101164,0.006181559669852829,0.6341727040923841,9am 8R HALF ext
ORB size 0.12-0.25%,82,15.678776290630974,9,10.975609756097562,-0.012195121951219513,-1.0,-0.6878701674206038,-0.07014181879439273,-7.082968896181333,9am 8R HALF ext
Small ORB (<0.15%),441,84.32122370936902,48,10.884353741496598,-0.02040816326530612,-9.0,-0.7791261820215674,-0.07835486010847934,-7.91339862905009,9am 8R HALF ext
Against pre-ORB trend,295,56.40535372848948,31,10.508474576271185,-0.05423728813559322,-16.0,-1.1550053472469806,-0.11218398497876644,-11.333899032601341,9am 8R HALF ext
Entry after 10am,24,4.588910133843212,2,8.333333333333332,-0.070578231292517,-1.693877551020408,-3.3301465901848335,-0.12852492813569022,-13.185507472587505,9am 8R HALF ext
Wednesday only,104,19.88527724665392,9,8.653846153846153,-0.22115384615384615,-23.0,-3.0096337696720123,-0.27910054299701936,-28.211017676669137,9am 8R HALF ext
Thursday only,104,19.88527724665392,8,7.6923076923076925,-0.3076923076923077,-32.0,-3.971172231210473,-0.3656390045354809,-36.961017676669144,9am 8R HALF ext
With pre-ORB trend,235,44.93307839388145,58,24.680851063829788,0.8093738513293038,190.2028550623864,8.237256417558278,0.6152718340016053,62.35090904191636,10am 6R FULL ext
ORB size 0.12-0.25%,89,17.01720841300191,17,19.101123595505616,0.5128424613381298,45.642979059093555,2.6575289492341057,0.31874044401043133,32.139797295966545,10am 6R FULL ext
Monday only,105,20.076481835564053,22,20.952380952380953,0.5009070294784593,52.59523809523823,4.508786306109442,0.30680501215076084,31.13137984568703,10am 6R FULL ext
Large ORB (>0.20%),31,5.927342256214149,4,12.903225806451612,0.40669732152090815,12.607616967148152,-3.540368839819898,0.21259530419320963,20.905493535338973,10am 6R FULL ext
Wednesday only,104,19.88527724665392,20,19.230769230769234,0.3851946246524554,40.060240963855364,2.7871745844977234,0.19109260732475689,19.387978190925462,10am 6R FULL ext
ORB size 0.15-0.35%,58,11.089866156787762,9,15.517241379310345,0.35591343205333714,20.642979059093555,-0.9263532669611649,0.16181141472563862,16.088506145867747,10am 6R FULL ext
ORB size 0.10-0.30%,139,26.577437858508606,23,16.546762589928058,0.27710776301506157,38.517979059093555,0.10316794365654758,0.08300574568736305,8.31089136310196,10am 6R FULL ext
Friday only,104,19.88527724665392,17,16.346153846153847,0.210311307723969,21.872376003292775,-0.09744080011766343,0.016209290396270476,1.6111849596152814,10am 6R FULL ext
Entry before 11am,517,98.8527724665392,86,16.634429400386846,0.2079600678189291,107.51535506238633,0.19083475411533612,0.013858050491230567,1.4048885245345903,10am 6R FULL ext
Small ORB (<0.15%),458,87.5717017208413,77,16.812227074235807,0.17876637554585154,81.875,0.36863242796429674,-0.015335641781846987,-1.496700935388269,10am 6R FULL ext
Thursday only,104,19.88527724665392,17,16.346153846153847,0.14423076923076922,15.0,-0.09744080011766343,-0.049871248096929305,-4.996868889704697,10am 6R FULL ext
Tuesday only,106,20.26768642447419,10,9.433962264150944,-0.26426886792452864,-28.01250000000004,-7.009632382120566,-0.45837088525222713,-46.538051763434765,10am 6R FULL ext
Against pre-ORB trend,288,55.06692160611855,28,9.722222222222223,-0.30794270833333354,-88.68750000000006,-6.721372424049287,-0.5020447256610321,-50.876609808508135,10am 6R FULL ext
Entry after 11am,6,1.147227533460803,0,0.0,-1.0,-6.0,-16.44359464627151,-1.1941020173276986,-121.05456119739702,10am 6R FULL ext
Entry after 11am,6,1.147227533460803,2,33.33333333333333,2.3996098069901164,14.397658841940698,12.49203314212874,2.2570584208427733,226.9550453984902,10am 4R FULL std
ORB size 0.12-0.25%,89,17.01720841300191,22,24.719101123595504,0.5831683547971166,51.90198357694338,3.8778009323909153,0.4406169686497735,44.449476958216444,10am 4R FULL std
ORB size 0.10-0.30%,139,26.577437858508606,30,21.58273381294964,0.34630097845732144,48.13583600556768,0.7414336217450526,0.20374959230997836,20.44910259317234,10am 4R FULL std
Monday only,105,20.076481835564053,23,21.904761904761905,0.2680721848135087,28.147579405418412,1.0634617135573166,0.1255207986661656,12.658426037972292,10am 4R FULL std
ORB size 0.15-0.35%,58,11.089866156787762,8,13.793103448275861,0.25918010723473606,15.032446219614691,-7.048196742928727,0.11662872108739297,10.958052434446424,10am 4R FULL std
With pre-ORB trend,199,38.04971319311664,44,22.110552763819097,0.23311489158684778,46.38986342578271,1.2692525726145085,0.0905635054395047,9.183275801211922,10am 4R FULL std
Wednesday only,104,19.88527724665392,23,22.115384615384613,0.2194086546747665,22.818500086175717,1.2740844241800247,0.07685726852742342,7.813135295160344,10am 4R FULL std
Friday only,104,19.88527724665392,23,22.115384615384613,0.20910163103001173,21.746569627121218,1.2740844241800247,0.06655024488266864,6.782432930684867,10am 4R FULL std
Small ORB (<0.15%),458,87.5717017208413,101,22.05240174672489,0.1321224593472748,60.51208638105186,1.211101555520301,-0.010428926800068294,-0.9217825244547994,10am 4R FULL std
Entry before 11am,517,98.8527724665392,107,20.6963249516441,0.11635728455148885,60.156716113119735,-0.14497523956048752,-0.02619410159585424,-2.6339076835414725,10am 4R FULL std
Against pre-ORB trend,324,61.95028680688337,65,20.061728395061728,0.08692750471999296,28.164511529277718,-0.7795717961428608,-0.05562388142735013,-5.640345322349298,10am 4R FULL std
Thursday only,104,19.88527724665392,22,21.153846153846153,0.057692307692307696,6.0,0.31254596264156476,-0.08485907845503539,-8.454653249239382,10am 4R FULL std
Large ORB (>0.20%),31,5.927342256214149,1,3.225806451612903,0.04220938877531423,1.308491052034741,-17.615493739591685,-0.10034199737202885,-11.795749111162053,10am 4R FULL std
Tuesday only,106,20.26768642447419,18,16.9811320754717,-0.03922900154391423,-4.158274163654909,-3.8601681157328898,-0.18178038769125732,-18.56405558069902,10am 4R FULL std
