family_id,instrument,orb_time,direction,rr,sl_mode,trades,wins,losses,win_rate,avg_r,total_r,max_drawdown,profit_factor,split1_trades,split1_avg_r,split2_trades,split2_avg_r,split3_trades,split3_avg_r,positive_splits,stability_flag
MGC_1000_UP_8.0R_HALF,MGC,1000,UP,8.0,HALF,491,86,402,17.515274949083505,0.5824847250509165,286.0,26.0,1.7114427860696517,167,0.2934131736526946,163,1.0429447852760736,161,0.4161490683229814,3,STABLE
MGC_1000_UP_6.0R_HALF,MGC,1000,UP,6.0,HALF,491,103,386,20.977596741344197,0.4725050916496945,232.0,26.0,1.6010362694300517,167,0.38323353293413176,163,0.7177914110429447,161,0.3167701863354037,3,STABLE
MGC_1000_UP_4.0R_HALF,MGC,1000,UP,4.0,HALF,491,138,352,28.105906313645622,0.4073319755600815,200.0,22.0,1.5681818181818181,167,0.3772455089820359,163,0.5644171779141104,161,0.2795031055900621,3,STABLE
MGC_1000_UP_8.0R_FULL,MGC,1000,UP,8.0,FULL,491,73,402,14.867617107942973,0.37067209775967414,182.0,33.0,1.4527363184079602,167,0.25748502994011974,163,0.8895705521472392,161,-0.037267080745341616,2,STABLE
MGC_1000_UP_4.0R_FULL,MGC,1000,UP,4.0,FULL,491,132,355,26.883910386965375,0.35234215885947046,173.0,19.0,1.4873239436619718,167,0.31736526946107785,163,0.656441717791411,161,0.08074534161490683,3,STABLE
MGC_1000_UP_3.0R_HALF,MGC,1000,UP,3.0,HALF,491,164,327,33.401221995926676,0.3360488798370672,165.0,18.0,1.5045871559633028,167,0.46107784431137727,163,0.3987730061349693,161,0.14285714285714285,3,STABLE
MGC_1000_UP_6.0R_FULL,MGC,1000,UP,6.0,FULL,491,92,390,18.73727087576375,0.329938900203666,162.0,32.0,1.4153846153846155,167,0.25748502994011974,163,0.7300613496932515,161,0.0,2,STABLE
MGC_1800_UP_6.0R_HALF,MGC,1800,UP,6.0,HALF,489,88,398,17.995910020449898,0.2658486707566462,130.0,55.0,1.3266331658291457,169,0.3727810650887574,162,0.5185185185185185,158,-0.10759493670886076,2,STABLE
MGC_1800_UP_8.0R_HALF,MGC,1800,UP,8.0,HALF,489,67,417,13.701431492842536,0.24335378323108384,119.0,57.0,1.2853717026378897,169,0.28994082840236685,162,0.4012345679012346,158,0.03164556962025317,3,STABLE
MGC_1000_UP_3.0R_FULL,MGC,1000,UP,3.0,FULL,491,152,337,30.95723014256619,0.24236252545824846,119.0,16.0,1.3531157270029674,167,0.24550898203592814,163,0.3987730061349693,161,0.08074534161490683,3,STABLE
MGC_1000_UP_2.5R_HALF,MGC,1000,UP,2.5,HALF,491,171,320,34.82688391038696,0.2189409368635438,107.5,18.0,1.3359375,167,0.3203592814371258,163,0.2883435582822086,161,0.043478260869565216,3,STABLE
MGC_1000_UP_2.5R_FULL,MGC,1000,UP,2.5,FULL,491,170,320,34.623217922606926,0.21384928716904278,105.0,15.0,1.328125,167,0.23652694610778444,163,0.2883435582822086,161,0.11490683229813664,3,STABLE
MGC_1100_UP_6.0R_HALF,MGC,1100,UP,6.0,HALF,478,82,391,17.154811715481173,0.2112970711297071,101.0,32.0,1.258312020460358,165,0.10909090909090909,159,0.4276729559748428,154,0.09740259740259741,3,STABLE
MGC_1000_UP_2.0R_FULL,MGC,1000,UP,2.0,FULL,491,198,293,40.32586558044807,0.20977596741344195,103.0,15.0,1.3515358361774743,167,0.3652694610778443,163,0.2147239263803681,161,0.043478260869565216,3,STABLE
MGC_1800_UP_3.0R_HALF,MGC,1800,UP,3.0,HALF,489,144,344,29.447852760736197,0.17995910020449898,88.0,27.0,1.255813953488372,169,0.20710059171597633,162,0.20987654320987653,158,0.12025316455696203,3,STABLE
MGC_1000_UP_2.0R_HALF,MGC,1000,UP,2.0,HALF,491,192,299,39.103869653767816,0.17311608961303462,85.0,14.0,1.2842809364548495,167,0.20359281437125748,163,0.26993865030674846,161,0.043478260869565216,3,STABLE
MGC_1100_UP_4.0R_HALF,MGC,1100,UP,4.0,HALF,478,110,367,23.01255230125523,0.15271966527196654,73.0,33.0,1.1989100817438691,165,0.03636363636363636,159,0.41509433962264153,154,0.006493506493506494,3,STABLE
MGC_1800_UP_2.5R_HALF,MGC,1800,UP,2.5,HALF,489,160,328,32.719836400818,0.147239263803681,72.0,24.5,1.2195121951219512,169,0.1804733727810651,162,0.16666666666666666,158,0.09177215189873418,3,STABLE
MGC_1100_UP_3.0R_FULL,MGC,1100,UP,3.0,FULL,478,135,335,28.24267782426778,0.14644351464435146,70.0,33.0,1.208955223880597,165,-0.08484848484848485,159,0.39622641509433965,154,0.13636363636363635,2,STABLE
MGC_0900_UP_8.0R_FULL,MGC,0900,UP,8.0,FULL,502,61,417,12.151394422310757,0.14143426294820718,71.0,70.0,1.170263788968825,173,-0.2023121387283237,164,0.49390243902439024,165,0.15151515151515152,2,STABLE
MGC_1100_UP_4.0R_FULL,MGC,1100,UP,4.0,FULL,478,105,354,21.96652719665272,0.13807531380753138,66.0,33.0,1.1864406779661016,165,-0.06060606060606061,159,0.39622641509433965,154,0.08441558441558442,2,STABLE
MGC_1100_UP_2.5R_FULL,MGC,1100,UP,2.5,FULL,478,153,319,32.00836820083682,0.13284518828451883,63.5,26.5,1.1990595611285266,165,-0.048484848484848485,159,0.3710691823899371,154,0.08116883116883117,2,STABLE
MGC_1100_UP_3.0R_HALF,MGC,1100,UP,3.0,HALF,478,135,343,28.24267782426778,0.1297071129707113,62.0,34.0,1.1807580174927115,165,-0.006060606060606061,159,0.3333333333333333,154,0.06493506493506493,2,STABLE
MGC_1800_UP_4.0R_HALF,MGC,1800,UP,4.0,HALF,489,110,377,22.494887525562373,0.12883435582822086,63.0,45.0,1.16710875331565,169,0.1301775147928994,162,0.2654320987654321,158,-0.012658227848101266,2,STABLE
MGC_1100_UP_2.5R_HALF,MGC,1100,UP,2.5,HALF,478,153,325,32.00836820083682,0.1202928870292887,57.5,31.0,1.176923076923077,165,0.01818181818181818,159,0.25471698113207547,154,0.09090909090909091,3,STABLE
MGC_1100_UP_8.0R_HALF,MGC,1100,UP,8.0,HALF,478,58,407,12.133891213389122,0.1192468619246862,57.0,34.0,1.1400491400491402,165,0.09696969696969697,159,0.34591194968553457,154,-0.09090909090909091,2,STABLE
MGC_1100_UP_2.0R_FULL,MGC,1100,UP,2.0,FULL,478,177,298,37.029288702928866,0.11715481171548117,56.0,24.0,1.1879194630872483,165,-0.04242424242424243,159,0.3018867924528302,154,0.09740259740259741,2,STABLE
MGC_1800_UP_3.0R_FULL,MGC,1800,UP,3.0,FULL,489,132,354,26.993865030674847,0.08588957055214724,42.0,22.0,1.11864406779661,169,0.047337278106508875,162,0.25925925925925924,158,-0.05063291139240506,2,STABLE
MGC_1800_UP_2.0R_HALF,MGC,1800,UP,2.0,HALF,489,176,313,35.991820040899796,0.07975460122699386,39.0,25.0,1.1246006389776357,169,0.0650887573964497,162,0.1111111111111111,158,0.06329113924050633,3,STABLE
MGC_1100_UP_2.0R_HALF,MGC,1100,UP,2.0,HALF,478,171,307,35.77405857740586,0.07322175732217573,35.0,26.0,1.1140065146579805,165,0.01818181818181818,159,0.1509433962264151,154,0.05194805194805195,3,STABLE
MGC_0900_UP_6.0R_HALF,MGC,0900,UP,6.0,HALF,502,76,423,15.139442231075698,0.06573705179282868,33.0,57.0,1.0780141843971631,173,-0.15028901734104047,164,0.16463414634146342,165,0.19393939393939394,2,STABLE
MGC_1800_UP_4.0R_FULL,MGC,1800,UP,4.0,FULL,489,103,380,21.063394683026583,0.065439672801636,32.0,28.0,1.0842105263157895,169,-0.03550295857988166,162,0.30246913580246915,158,-0.06962025316455696,1,UNSTABLE
MGC_0900_UP_6.0R_FULL,MGC,0900,UP,6.0,FULL,502,73,411,14.54183266932271,0.053784860557768925,27.0,65.0,1.0656934306569343,173,-0.2543352601156069,164,0.32926829268292684,165,0.10303030303030303,2,STABLE
MGC_1100_UP_6.0R_FULL,MGC,1100,UP,6.0,FULL,478,67,379,14.01673640167364,0.04811715481171548,23.0,26.0,1.0606860158311346,165,-0.01818181818181818,159,0.2893081761006289,154,-0.12987012987012986,1,UNSTABLE
MGC_1800_UP_2.5R_FULL,MGC,1800,UP,2.5,FULL,489,145,341,29.65235173824131,0.04396728016359918,21.5,24.0,1.063049853372434,169,-0.020710059171597635,162,0.20987654320987653,158,-0.056962025316455694,1,UNSTABLE
MGC_1800_UP_2.0R_FULL,MGC,1800,UP,2.0,FULL,489,168,320,34.355828220858896,0.032719836400818,16.0,25.0,1.05,169,-0.023668639053254437,162,0.1111111111111111,158,0.012658227848101266,2,STABLE
MGC_1100_DOWN_3.0R_HALF,MGC,1100,DOWN,3.0,HALF,459,118,341,25.70806100217865,0.02832244008714597,13.0,28.0,1.0381231671554252,160,0.0,141,-0.12056737588652482,158,0.189873417721519,1,UNSTABLE
MGC_0900_UP_4.0R_HALF,MGC,0900,UP,4.0,HALF,502,103,398,20.51792828685259,0.027888446215139442,14.0,78.0,1.035175879396985,173,-0.24855491329479767,164,0.1951219512195122,165,0.15151515151515152,2,STABLE
MGC_0900_UP_2.0R_HALF,MGC,0900,UP,2.0,HALF,502,171,331,34.06374501992032,0.021912350597609563,11.0,31.0,1.0332326283987916,173,-0.028901734104046242,164,0.006097560975609756,165,0.09090909090909091,2,STABLE
MGC_1100_DOWN_2.5R_HALF,MGC,1100,DOWN,2.5,HALF,459,134,325,29.193899782135073,0.02178649237472767,10.0,38.0,1.0307692307692307,160,0.071875,141,-0.20567375886524822,158,0.17405063291139242,2,STABLE
MGC_0900_UP_4.0R_FULL,MGC,0900,UP,4.0,FULL,502,100,390,19.9203187250996,0.0199203187250996,10.0,78.0,1.0256410256410255,173,-0.26011560693641617,164,0.15853658536585366,165,0.17575757575757575,2,STABLE
MGC_0900_UP_8.0R_HALF,MGC,0900,UP,8.0,HALF,502,56,439,11.155378486055776,0.017928286852589643,9.0,49.0,1.020501138952164,173,-0.10982658959537572,164,0.12804878048780488,165,0.04242424242424243,2,STABLE
MGC_1100_DOWN_4.0R_HALF,MGC,1100,DOWN,4.0,HALF,459,93,366,20.26143790849673,0.013071895424836602,6.0,41.0,1.0163934426229508,160,-0.03125,141,-0.18439716312056736,158,0.23417721518987342,1,UNSTABLE
MGC_2300_UP_2.0R_HALF,MGC,2300,UP,2.0,HALF,412,139,273,33.737864077669904,0.012135922330097087,5.0,37.0,1.0183150183150182,141,0.06382978723404255,133,-0.03007518796992481,138,0.0,1,UNSTABLE
MGC_2300_UP_2.5R_HALF,MGC,2300,UP,2.5,HALF,412,118,291,28.640776699029125,0.009708737864077669,4.0,38.5,1.013745704467354,141,0.04964539007092199,133,-0.045112781954887216,138,0.021739130434782608,2,STABLE
MGC_1100_DOWN_2.0R_HALF,MGC,1100,DOWN,2.0,HALF,459,154,305,33.551198257080614,0.006535947712418301,3.0,29.0,1.0098360655737706,160,-0.00625,141,-0.1276595744680851,158,0.13924050632911392,1,UNSTABLE
MGC_1800_UP_6.0R_FULL,MGC,1800,UP,6.0,FULL,489,68,406,13.905930470347649,0.00408997955010225,2.0,35.0,1.0049261083743843,169,-0.011834319526627219,162,0.10493827160493827,158,-0.08227848101265822,1,UNSTABLE
MGC_2300_UP_4.0R_HALF,MGC,2300,UP,4.0,HALF,412,81,326,19.66019417475728,-0.0048543689320388345,-2.0,60.0,0.9938650306748467,141,0.03546099290780142,133,-0.05263157894736842,138,0.0,1,UNSTABLE
MGC_1800_DOWN_2.0R_HALF,MGC,1800,DOWN,2.0,HALF,453,149,304,32.89183222958057,-0.013245033112582781,-6.0,29.0,0.9802631578947368,154,0.12987012987012986,148,-0.08783783783783784,151,-0.08609271523178808,1,UNSTABLE
MGC_2300_DOWN_4.0R_FULL,MGC,2300,DOWN,4.0,FULL,386,69,284,17.875647668393782,-0.02072538860103627,-8.0,62.0,0.971830985915493,141,-0.03546099290780142,126,-0.0873015873015873,119,0.06722689075630252,1,UNSTABLE
MGC_0900_UP_2.5R_FULL,MGC,0900,UP,2.5,FULL,502,138,356,27.490039840637447,-0.021912350597609563,-11.0,77.0,0.9691011235955056,173,-0.26011560693641617,164,0.12804878048780488,165,0.07878787878787878,2,STABLE
MGC_0900_UP_3.0R_FULL,MGC,0900,UP,3.0,FULL,502,120,373,23.904382470119522,-0.025896414342629483,-13.0,71.0,0.9651474530831099,173,-0.24855491329479767,164,0.12195121951219512,165,0.06060606060606061,2,STABLE
MGC_2300_DOWN_2.0R_FULL,MGC,2300,DOWN,2.0,FULL,386,122,256,31.606217616580313,-0.031088082901554404,-12.0,44.0,0.953125,141,-0.06382978723404255,126,-0.12698412698412698,119,0.1092436974789916,1,UNSTABLE
MGC_0900_DOWN_2.0R_HALF,MGC,0900,DOWN,2.0,HALF,474,153,321,32.278481012658226,-0.03164556962025317,-15.0,47.0,0.9532710280373832,168,-0.125,155,-0.14838709677419354,151,0.19205298013245034,1,UNSTABLE
MGC_1800_DOWN_4.0R_HALF,MGC,1800,DOWN,4.0,HALF,453,87,366,19.205298013245034,-0.039735099337748346,-18.0,41.0,0.9508196721311475,154,0.03896103896103896,148,-0.1554054054054054,151,-0.006622516556291391,1,UNSTABLE
MGC_2300_UP_3.0R_HALF,MGC,2300,UP,3.0,HALF,412,98,311,23.78640776699029,-0.0412621359223301,-17.0,54.0,0.9453376205787781,141,-0.028368794326241134,133,-0.12030075187969924,138,0.021739130434782608,1,UNSTABLE
MGC_0900_UP_3.0R_HALF,MGC,0900,UP,3.0,HALF,502,120,381,23.904382470119522,-0.04183266932270916,-21.0,84.0,0.9448818897637795,173,-0.2832369942196532,164,-0.018292682926829267,165,0.18787878787878787,1,UNSTABLE
MGC_0900_UP_2.0R_FULL,MGC,0900,UP,2.0,FULL,502,158,338,31.47410358565737,-0.043824701195219126,-22.0,77.0,0.9349112426035503,173,-0.2774566473988439,164,0.07926829268292683,165,0.07878787878787878,2,STABLE
MGC_2300_DOWN_3.0R_FULL,MGC,2300,DOWN,3.0,FULL,386,87,278,22.53886010362694,-0.04404145077720207,-17.0,60.0,0.9388489208633094,141,0.0070921985815602835,126,-0.09523809523809523,119,-0.05042016806722689,1,UNSTABLE
MGC_0900_UP_2.5R_HALF,MGC,0900,UP,2.5,HALF,502,136,366,27.091633466135455,-0.05179282868525897,-26.0,76.5,0.9289617486338798,173,-0.2514450867052023,164,0.003048780487804878,165,0.10303030303030303,2,STABLE
MGC_2300_UP_2.0R_FULL,MGC,2300,UP,2.0,FULL,412,127,276,30.8252427184466,-0.05339805825242718,-22.0,60.0,0.9202898550724637,141,0.028368794326241134,133,-0.18796992481203006,138,-0.007246376811594203,1,UNSTABLE
MGC_1800_DOWN_2.0R_FULL,MGC,1800,DOWN,2.0,FULL,453,142,309,31.346578366445915,-0.05518763796909492,-25.0,41.0,0.919093851132686,154,0.03896103896103896,148,-0.06756756756756757,151,-0.1390728476821192,1,UNSTABLE
MGC_1100_DOWN_2.0R_FULL,MGC,1100,DOWN,2.0,FULL,459,143,313,31.154684095860567,-0.058823529411764705,-27.0,54.0,0.9137380191693291,160,-0.10625,141,-0.1702127659574468,158,0.08860759493670886,1,UNSTABLE
MGC_0900_DOWN_8.0R_HALF,MGC,0900,DOWN,8.0,HALF,474,49,424,10.337552742616033,-0.06751054852320675,-32.0,101.0,0.9245283018867925,168,-0.25,155,-0.3548387096774194,151,0.4304635761589404,1,UNSTABLE
MGC_1800_DOWN_2.5R_FULL,MGC,1800,DOWN,2.5,FULL,453,120,331,26.490066225165563,-0.0684326710816777,-31.0,50.0,0.9063444108761329,154,0.02922077922077922,148,-0.125,151,-0.11258278145695365,1,UNSTABLE
MGC_2300_DOWN_2.5R_FULL,MGC,2300,DOWN,2.5,FULL,386,98,272,25.38860103626943,-0.06994818652849741,-27.0,56.5,0.9007352941176471,141,-0.06382978723404255,126,-0.0992063492063492,119,-0.046218487394957986,0,UNSTABLE
MGC_1000_DOWN_2.0R_FULL,MGC,1000,DOWN,2.0,FULL,481,149,332,30.97713097713098,-0.07068607068607069,-34.0,45.0,0.8975903614457831,173,-0.1329479768786127,155,-0.07096774193548387,153,0.0,0,UNSTABLE
MGC_1800_DOWN_2.5R_HALF,MGC,1800,DOWN,2.5,HALF,453,120,333,26.490066225165563,-0.0728476821192053,-33.0,52.5,0.9009009009009009,154,0.06818181818181818,148,-0.17229729729729729,151,-0.11920529801324503,1,UNSTABLE
MGC_1800_DOWN_3.0R_HALF,MGC,1800,DOWN,3.0,HALF,453,105,348,23.178807947019866,-0.0728476821192053,-33.0,54.0,0.9051724137931034,154,0.06493506493506493,148,-0.21621621621621623,151,-0.0728476821192053,1,UNSTABLE
MGC_0900_DOWN_2.5R_FULL,MGC,0900,DOWN,2.5,FULL,474,125,348,26.371308016877638,-0.07489451476793249,-35.5,60.5,0.8979885057471264,168,-0.2916666666666667,155,-0.04516129032258064,151,0.1357615894039735,1,UNSTABLE
MGC_1000_DOWN_6.0R_FULL,MGC,1000,DOWN,6.0,FULL,481,62,413,12.889812889812891,-0.08523908523908524,-41.0,72.0,0.9007263922518159,173,-0.21965317919075145,155,-0.04516129032258064,153,0.026143790849673203,1,UNSTABLE
MGC_0900_DOWN_6.0R_FULL,MGC,0900,DOWN,6.0,FULL,474,61,408,12.869198312236287,-0.08860759493670886,-42.0,77.0,0.8970588235294118,168,-0.16666666666666666,155,-0.25161290322580643,151,0.16556291390728478,1,UNSTABLE
