candidate_id,name,orb_time,rr,sl_mode,total_trades,wins,losses,time_exits,win_rate,avg_r,total_r,avg_win_r,avg_loss_r,avg_time_to_resolution_hours
2,1800 ORB Extended - RR1.5,1800,1.5,HALF,522,226,296,0,43.29501915708812,0.08237547892720307,43.0,1.5,-1.0,0.26012132822477657
3,1800 ORB Extended - RR2.0,1800,2.0,HALF,522,193,329,0,36.97318007662835,0.10919540229885058,57.0,2.0,-1.0,0.3617177522349936
4,1800 ORB Extended - RR3.0,1800,3.0,HALF,522,147,375,0,28.160919540229884,0.12643678160919541,66.0,3.0,-1.0,0.5754469987228608
5,1800 ORB + ORB Size Filter,1800,2.0,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,1800 Asia Rejection Fade,1800,1.5,FULL,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,2300 ORB Extended - RR1.0,2300,1.0,HALF,522,256,266,0,49.042145593869726,-0.019157088122605363,-10.0,1.0,-1.0,0.138058748403576
8,2300 ORB Extended - RR1.5,2300,1.5,HALF,522,204,318,0,39.08045977011494,-0.022988505747126436,-12.0,1.5,-1.0,0.1977330779054917
9,2300 ORB Extended - RR2.0,2300,2.0,HALF,522,164,358,0,31.417624521072796,-0.05747126436781609,-30.0,2.0,-1.0,0.2568326947637292
10,2300 ORB + Size Filter,2300,1.5,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,0030 ORB Extended - RR1.0,0030,1.0,HALF,523,230,293,0,43.977055449330784,-0.12045889101338432,-63.0,1.0,-1.0,0.13948374760994264
12,0030 ORB Extended - RR2.0,0030,2.0,HALF,523,157,364,2,30.019120458891013,-0.09335639928374154,-48.82539682539682,2.0,-1.0,0.2944231994901211
13,0030 ORB Extended - RR3.0,0030,3.0,HALF,523,105,410,8,20.076481835564053,-0.16971909404966398,-88.76308618797427,3.0,-1.0,0.5281708094327597
14,0030 ORB + Size Filter,0030,3.0,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,1100 ORB + Directional Bias,1100,2.0,HALF,523,186,337,0,35.5640535372849,0.06692160611854685,35.0,2.0,-1.0,0.5303696622052262
16,1100 ORB + Bias + Size Filter,1100,2.0,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,0900 ORB + Overnight Compression,0900,2.5,HALF,522,138,384,0,26.436781609195403,-0.07471264367816093,-39.0,2.5,-1.0,0.6576628352490421
18,1000 ORB + 0900 Alignment,1000,2.5,HALF,523,148,375,0,28.298279158699806,-0.009560229445506692,-5.0,2.5,-1.0,0.38202676864244745
19,0900 ORB Baseline - RR2.0,0900,2.0,HALF,522,175,347,0,33.524904214559385,0.005747126436781609,3.0,2.0,-1.0,0.5231162196679437
20,0900 ORB + Size Filter,0900,2.0,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,1000 ORB Baseline - RR2.0,1000,2.0,HALF,523,177,346,0,33.84321223709369,0.015296367112810707,8.0,2.0,-1.0,0.3246335245379222
22,1000 ORB + Size Filter,1000,2.0,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,1100 ORB Baseline - RR2.0,1100,2.0,HALF,523,186,337,0,35.5640535372849,0.06692160611854685,35.0,2.0,-1.0,0.5303696622052262
24,1100 ORB + Size Filter,1100,2.0,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,1800 ORB Extended + Bias,1800,2.0,HALF,522,193,329,0,36.97318007662835,0.10919540229885058,57.0,2.0,-1.0,0.3617177522349936
26,2300 ORB + Asia Expansion Filter,2300,1.5,HALF,522,204,318,0,39.08045977011494,-0.022988505747126436,-12.0,1.5,-1.0,0.1977330779054917
27,0030 ORB + Asia Compression Filter,0030,3.0,HALF,523,105,410,8,20.076481835564053,-0.16971909404966398,-88.76308618797427,3.0,-1.0,0.5281708094327597
28,1800 ORB + Asia Rejection (Full),1800,2.0,FULL,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,1800 ORB + Asia Rejection (Low),1800,2.0,FULL,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,2300 ORB + Tight Size Filter,2300,1.5,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,0030 ORB + Tight Size Filter,0030,3.0,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32,1100 ORB + Bias RR3.0,1100,3.0,HALF,523,147,376,0,28.107074569789674,0.124282982791587,65.0,3.0,-1.0,0.8810070108349267
33,0900 + Compression RR3.0,0900,3.0,HALF,522,117,405,0,22.413793103448278,-0.10344827586206896,-54.0,3.0,-1.0,0.7372286079182632
34,1000 + Alignment RR3.0,1000,3.0,HALF,523,136,387,0,26.003824091778206,0.040152963671128104,21.0,3.0,-1.0,0.4466539196940727
35,1800 Extended FULL-SL,1800,1.5,FULL,522,222,300,0,42.5287356321839,0.06321839080459771,33.0,1.5,-1.0,0.8009897828863346
36,2300 Extended FULL-SL,2300,1.0,FULL,522,253,268,1,48.46743295019157,-0.028477748305334488,-14.865384615384603,1.0,-1.0,0.3644955300127714
37,0030 Extended FULL-SL,0030,2.0,FULL,523,142,343,38,27.151051625239003,-0.08856826434646035,-46.32120225319876,2.0,-1.0,1.3336838750796685
38,1800 + Double Filter (Size + Bias),1800,2.0,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,2300 + Double Filter (Size + Asia),2300,1.5,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,0900 + Double Filter (Compression + Size),0900,2.5,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,1000 + Double Filter (Alignment + Size),1000,2.5,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,1100 + Triple Filter (Bias + Size + Asia),1100,2.0,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,1800 ORB Extended - RR1.0,1800,1.0,HALF,522,274,248,0,52.490421455938694,0.04980842911877394,26.0,1.0,-1.0,0.17621328224776497
44,2300 ORB + Wide Size Filter,2300,1.5,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,0030 ORB + Wide Size Filter,0030,3.0,HALF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,1800 + London Sweep Fade,1800,1.5,FULL,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,0900 ORB RR1.5 Baseline,0900,1.5,HALF,522,215,307,0,41.18773946360153,0.029693486590038315,15.5,1.5,-1.0,0.3912196679438059
48,1000 ORB RR1.5 Baseline,1000,1.5,HALF,523,212,311,0,40.53537284894838,0.01338432122370937,7.0,1.5,-1.0,0.2394200127469726
49,1100 ORB RR1.5 Baseline,1100,1.5,HALF,523,221,302,0,42.25621414913958,0.05640535372848948,29.5,1.5,-1.0,0.3836838750796686
50,2300 ORB + Asia Tight Filter,2300,1.5,HALF,522,204,318,0,39.08045977011494,-0.022988505747126436,-12.0,1.5,-1.0,0.1977330779054917
51,0030 ORB + Asia Wide Filter,0030,3.0,HALF,523,105,410,8,20.076481835564053,-0.16971909404966398,-88.76308618797427,3.0,-1.0,0.5281708094327597
